"","Area","Records","Observed.richness","Richness","Slope","Completeness","Ratio","City","holc_grade","ratio_n_obs_sp_richness"
"117","D",10,10,NA,NA,NA,1,"Amarillo","D",1
"119","A1",34,21,49.8268280440744,0.352941176470587,42.1459700011897,1.61904761904762,"Arlington","A",1.62
"124","B2",8,6,18.2675428838315,0.5,32.8451398097473,1.33333333333333,"Arlington","B",1.33
"125","B3",80,38,77.9575973390213,0.25,48.7444473625142,2.10526315789474,"Arlington","B",2.11
"127","B5",58,35,83.2531994872307,0.362068965517246,42.0404263326459,1.65714285714286,"Arlington","B",1.66
"132","C1",36,20,39.9633303041536,0.25,50.0458791791967,1.8,"Arlington","C",1.8
"140","B10",3,3,NA,NA,NA,1,"Asheville","B",1
"145","B7",35,21,50.8595679660548,0.37142857142857,41.2901659212206,1.66666666666667,"Asheville","B",1.67
"148","C1",79,36,64.2209643095484,0.202531645569621,56.0564612927301,2.19444444444444,"Asheville","C",2.19
"153","D2",9,9,NA,NA,NA,1,"Asheville","D",1
"154","D3",17,15,112.675928535711,0.764705882352942,13.3125150996612,1.13333333333333,"Asheville","D",1.13
"160","A4",11,9,40.7220041241225,0.636363636363637,22.1010733473912,1.22222222222222,"Atlanta","A",1.22
"161","A5",17,15,112.675928535711,0.764705882352942,13.3125150996612,1.13333333333333,"Atlanta","A",1.13
"162","A6",30,23,96.2209167655956,0.600000000000001,23.9033266083199,1.30434782608696,"Atlanta","A",1.3
"164","A8",58,34,81.3943825916152,0.362068965517246,41.7719244466663,1.70588235294118,"Atlanta","A",1.71
"165","A9",71,31,51.811365209401,0.16901408450704,59.8324322756412,2.29032258064516,"Atlanta","A",2.29
"166","B1",13,12,137.851528497232,0.846153846153845,8.70501773235034,1.08333333333333,"Atlanta","B",1.08
"168","B11",31,20,55.4991546506608,0.419354838709676,36.0365849279866,1.55,"Atlanta","B",1.55
"178","B20",67,38,82.3636747679804,0.298507462686565,46.1368438295723,1.76315789473684,"Atlanta","B",1.76
"179","B21",26,18,51.2641206592286,0.423076923076923,35.1122769073766,1.44444444444444,"Atlanta","B",1.44
"182","B26",87,38,78.0749148897367,0.275862068965516,48.6712025926208,2.28947368421053,"Atlanta","B",2.29
"184","B28",7,7,NA,NA,NA,1,"Atlanta","B",1
"187","B5",37,20,38.7884242813921,0.243243243243242,51.56177486074,1.85,"Atlanta","B",1.85
"190","B7",29,21,78.2702849022027,0.551724137931032,26.8301054815875,1.38095238095238,"Atlanta","B",1.38
"192","B9",48,38,175.853486588895,0.625,21.6088976892652,1.26315789473684,"Atlanta","B",1.26
"194","C1",77,29,46.3659859595274,0.168831168831169,62.5458499368781,2.6551724137931,"Atlanta","C",2.66
"195","C10",150,62,102.49535764679,0.18,60.490544570476,2.41935483870968,"Atlanta","C",2.42
"201","C16",191,81,140.350371422402,0.183246073298434,57.7127079744024,2.35802469135802,"Atlanta","C",2.36
"207","C21",74,29,47.774208764099,0.121621621621621,60.7022088909879,2.55172413793103,"Atlanta","C",2.55
"215","C30",15,13,84.6874532250617,0.733333333333333,15.3505619840188,1.15384615384615,"Atlanta","C",1.15
"222","C4",76,35,64.6876501686938,0.236842105263158,54.1061545885903,2.17142857142857,"Atlanta","C",2.17
"223","C40",80,33,54.0490666943625,0.137500000000003,61.0556333684888,2.42424242424242,"Atlanta","C",2.42
"226","C5",10,9,76.3681272346926,0.800000000000001,11.7850212200981,1.11111111111111,"Atlanta","C",1.11
"235","D14",78,32,51.992722734623,0.153846153846153,61.5470748922533,2.4375,"Atlanta","D",2.44
"236","D15",31,14,24.2833442190295,0.193548387096774,57.6526852056439,2.21428571428571,"Atlanta","D",2.21
"239","D18",3,3,NA,NA,NA,1,"Atlanta","D",1
"240","D18",65,23,42.9692996485625,0.215384615384615,53.5265880247351,2.82608695652174,"Atlanta","D",2.83
"245","D22",27,12,22.5483337099619,0.25925925925926,53.2190101244526,2.25,"Atlanta","D",2.25
"247","D24",12,10,50.2113719008126,0.666666666666668,19.9158071596888,1.2,"Atlanta","D",1.2
"249","D28",22,16,59.6421699476776,0.545454545454545,26.8266563977071,1.375,"Atlanta","D",1.38
"252","D30",78,42,93.6694543485946,0.320512820512818,44.8385231792803,1.85714285714286,"Atlanta","D",1.86
"253","D31",31,18,38.9407845876199,0.322580645161288,46.224030128357,1.72222222222222,"Atlanta","D",1.72
"255","D32",7,6,32.8974283942516,0.714285714285714,18.2385076672085,1.16666666666667,"Atlanta","D",1.17
"257","D5",21,12,26.100044647915,0.333333333333334,45.9769328439008,1.75,"Atlanta","D",1.75
"259","D8",34,28,141.391531583242,0.647058823529413,19.8031662055485,1.21428571428571,"Atlanta","D",1.21
"260","D9",34,20,42.6130669768472,0.264705882352942,46.9339604466079,1.7,"Atlanta","D",1.7
"261","A1",10,10,NA,NA,NA,1,"Atlantic City","A",1
"262","A2",13,11,60.7022601515724,0.692307692307692,18.1212362975171,1.18181818181818,"Atlantic City","A",1.18
"264","B2",289,105,174.043517584287,0.162629757785467,60.3297390545728,2.75238095238095,"Atlantic City","B",2.75
"265","B3",56,32,76.9918952260064,0.339285714285712,41.5628163276997,1.75,"Atlantic City","B",1.75
"266","B4",7,7,NA,NA,NA,1,"Atlantic City","B",1
"267","B5",9,9,NA,NA,NA,1,"Atlantic City","B",1
"270","C1",100,56,129.487425872577,0.340000000000003,43.2474424621793,1.78571428571429,"Atlantic City","C",1.79
"271","C10",4,2,3.09850691532731,0.25,64.5472175681342,2,"Atlantic City","C",2
"274","C13",75,43,107.948889265452,0.359999999999999,39.8336659993422,1.74418604651163,"Atlantic City","C",1.74
"277","C2",36,22,72.7945429738914,0.444444444444443,30.2220456386278,1.63636363636364,"Atlantic City","C",1.64
"278","C4",6,6,NA,NA,NA,1,"Atlantic City","C",1
"279","C5",56,31,63.9436867000552,0.267857142857142,48.4801574632593,1.80645161290323,"Atlantic City","C",1.81
"280","C6",6,6,NA,NA,NA,1,"Atlantic City","C",1
"281","C7",2,2,NA,NA,NA,1,"Atlantic City","C",1
"282","C8",53,29,66.0143838646416,0.339622641509433,43.9298199911442,1.82758620689655,"Atlantic City","C",1.83
"284","D1",117,40,56.9531326315466,0.111111111111114,70.2331867480873,2.925,"Atlantic City","D",2.92
"286","D3",40,16,25.9858651253175,0.175000000000001,61.5719350610018,2.5,"Atlantic City","D",2.5
"287","A1",10,10,NA,NA,NA,1,"Augusta","A",1
"288","B2",4,4,NA,NA,NA,1,"Augusta","B",1
"289","B3",6,6,NA,NA,NA,1,"Augusta","B",1
"291","B6",4,4,NA,NA,NA,1,"Augusta","B",1
"292","B7",60,26,42.6022284714957,0.166666666666668,61.0296712938293,2.30769230769231,"Augusta","B",2.31
"293","B8",16,16,NA,NA,NA,1,"Augusta","B",1
"294","C1",32,24,94.9327835533782,0.5625,25.2810452845359,1.33333333333333,"Augusta","C",1.33
"297","C5",124,42,73.2960589928012,0.193548387096776,57.301853028858,2.95238095238095,"Augusta","C",2.95
"298","C7",77,40,83.1718895363594,0.285714285714285,48.0931721318098,1.925,"Augusta","C",1.93
"299","D1",164,71,137.48642128953,0.219512195121951,51.6414634507669,2.30985915492958,"Augusta","D",2.31
"300","D11",167,56,83.5847464919824,0.113772455089823,66.9978702458248,2.98214285714286,"Augusta","D",2.98
"301","D12",16,11,28.6896084201077,0.375,38.34140863453,1.45454545454545,"Augusta","D",1.45
"302","D2",2,2,NA,NA,NA,1,"Augusta","D",1
"303","D3",9,7,34.3694687458318,0.666666666666666,20.366913587656,1.28571428571429,"Augusta","D",1.29
"305","D6",6,5,22.4127530476193,0.666666666666667,22.308727488215,1.2,"Augusta","D",1.2
"306","A1",12,9,34.2527073113466,0.583333333333334,26.2752953166381,1.33333333333333,"Aurora","A",1.33
"308","B",22,9,13.1396420233261,0.0909090909090899,68.4950167137186,2.44444444444444,"Aurora","B",2.44
"309","B2",58,26,44.5712605703036,0.172413793103448,58.3335532074292,2.23076923076923,"Aurora","B",2.23
"310","B3",35,13,18.6178893484225,0.0857142857142854,69.8253156236613,2.69230769230769,"Aurora","B",2.69
"311","B4",52,26,51.651387055153,0.26923076923077,50.3374671666365,2,"Aurora","B",2
"312","C1",30,29,826.318867428658,0.933333333333334,3.50954106738992,1.03448275862069,"Aurora","C",1.03
"316","C6",9,8,59.8759170331237,0.777777777777778,13.3609644685264,1.125,"Aurora","C",1.12
"317","D",66,47,154.555730243278,0.484848484848484,30.4097427678805,1.40425531914894,"Aurora","D",1.4
"318","D1",18,15,78.0056298651184,0.666666666666668,19.2293812971408,1.2,"Aurora","D",1.2
"319","D2",2,1,NA,NA,NA,2,"Aurora","D",2
"320","D4",2,1,NA,NA,NA,2,"Aurora","D",2
"321","D4",49,29,65.7850238662037,0.326530612244898,44.0829816509323,1.68965517241379,"Aurora","D",1.69
"322","D4",3,2,NA,NA,NA,1.5,"Aurora","D",1.5
"324","D6",250,88,129.113395200534,0.128,68.1571419164695,2.84090909090909,"Aurora","D",2.84
"325","D7",16,12,NA,NA,NA,1.33333333333333,"Aurora","D",1.33
"329","B",132,46,102.205699230614,0.212121212121211,45.0072748841596,2.8695652173913,"Austin","B",2.87
"341","D",47,26,53.2376115605499,0.276595744680851,48.8376530010721,1.80769230769231,"Austin","D",1.81
"342","D",46,24,52.3151325425314,0.326086956521738,45.8758275733859,1.91666666666667,"Austin","D",1.92
"343","D",28,17,41.6558338619524,0.392857142857142,40.8106102409043,1.64705882352941,"Austin","D",1.65
"348","A4",27,26,662.82185355455,0.925925925925924,3.92262262636158,1.03846153846154,"Baltimore","A",1.04
"359","B17",2,1,NA,NA,NA,2,"Baltimore","B",2
"360","B17",40,19,33.4044513374918,0.199999999999999,56.878647124119,2.10526315789474,"Baltimore","B",2.11
"361","B18",14,7,11.3390124275486,0,61.7337713026334,2,"Baltimore","B",2
"365","B21",48,23,38.8945117308375,0,59.1343070692528,2.08695652173913,"Baltimore","B",2.09
"372","B8",6,3,4.18166455812985,0,71.7417659474264,2,"Baltimore","B",2
"378","C12",36,14,20.7732551572436,0,67.3943486180992,2.57142857142857,"Baltimore","C",2.57
"382","C14",22,8,11.2220682258328,0,71.2881069603935,2.75,"Baltimore","C",2.75
"388","C19",54,19,27.0030634872446,0,70.3623868787148,2.84210526315789,"Baltimore","C",2.84
"395","C3",40,16,24.1939356818884,0,66.1322746756643,2.5,"Baltimore","C",2.5
"403","D",10,5,7.76539911790292,0,64.3881907946319,2,"Baltimore","D",2
"405","D2",34,13,19.4147120787132,0,66.9595302124184,2.61538461538462,"Baltimore","D",2.62
"415","A2",34,14,21.833358136852,0,64.1220645594126,2.42857142857143,"Battle Creek","A",2.43
"419","C11",22,8,11.2220682258328,0,71.2881069603935,2.75,"Battle Creek","C",2.75
"420","C12",42,17,25.9143793598592,0,65.6006449698449,2.47058823529412,"Battle Creek","C",2.47
"424","C17",44,20,33.2103218043285,0,60.2222408979887,2.2,"Battle Creek","C",2.2
"426","C3",12,6,9.55286969176388,0,62.8083517686101,2,"Battle Creek","C",2
"427","C4",20,10,16.6935225673909,0,59.9034742944787,2,"Battle Creek","C",2
"428","C4",32,11,15.7589713436081,0,69.8015102645745,2.90909090909091,"Battle Creek","C",2.91
"429","C6",2,1,NA,NA,NA,2,"Battle Creek","C",2
"432","C9",20,9,14.1312642486904,0,63.6885691302114,2.22222222222222,"Battle Creek","C",2.22
"433","D11",10,4,5.52104540608909,0,72.4500471520929,2.5,"Battle Creek","D",2.5
"435","D3",2,1,NA,NA,NA,2,"Battle Creek","D",2
"436","D4",2,1,NA,NA,NA,2,"Battle Creek","D",2
"437","D5",8,4,5.97563336007031,0,66.9385110995654,2,"Battle Creek","D",2
"439","D6",2,1,NA,NA,NA,2,"Battle Creek","D",2
"440","D8",12,6,9.55286969176388,0,62.8083517686101,2,"Battle Creek","D",2
"446","C3",2,1,NA,NA,NA,2,"Bay City","C",2
"447","C3",2,1,NA,NA,NA,2,"Bay City","C",2
"450","D4",2,1,NA,NA,NA,2,"Bay City","D",2
"451","D5",34,14,21.4128406762628,0,65.3813298836138,2.42857142857143,"Bay City","D",2.43
"453","D7",2,1,NA,NA,NA,2,"Bay City","D",2
"454","D8",18,9,14.9091143025472,0,60.3657589402369,2,"Bay City","D",2
"455","A",35,25,77.5797940755231,0.457142857142856,32.2248857423658,1.4,"Beaumont","A",1.4
"456","A",3,3,NA,NA,NA,1,"Beaumont","A",1
"457","B",15,12,60.0345024483517,0.666666666666666,19.9885057935205,1.25,"Beaumont","B",1.25
"458","B",2,2,NA,NA,NA,1,"Beaumont","B",1
"459","B",2,2,NA,NA,NA,1,"Beaumont","B",1
"460","B",2,2,NA,NA,NA,1,"Beaumont","B",1
"461","B",9,9,NA,NA,NA,1,"Beaumont","B",1
"462","C",24,23,517.325201894106,0.916666666666664,4.44594616998922,1.04347826086957,"Beaumont","C",1.04
"463","C",11,9,40.7220041241225,0.636363636363637,22.1010733473912,1.22222222222222,"Beaumont","C",1.22
"464","C",13,13,NA,NA,NA,1,"Beaumont","C",1
"465","C",80,33,56.5129245502355,0.174999999999997,58.393721901024,2.42424242424242,"Beaumont","C",2.42
"466","D",24,19,86.2161499924711,0.625,22.0376344822393,1.26315789473684,"Beaumont","D",1.26
"468","D",22,15,NA,NA,NA,1.46666666666667,"Beaumont","D",1.47
"469","D",5,5,NA,NA,NA,1,"Beaumont","D",1
"471","A2",4,4,NA,NA,NA,1,"Belmont","A",1
"473","A4",2,2,NA,NA,NA,1,"Belmont","A",1
"474","B1",34,26,117.563278708245,0.617647058823529,22.1157493102279,1.30769230769231,"Belmont","B",1.31
"475","B2",36,20,38.7692110377494,0.166666666666668,51.5873278425142,1.8,"Belmont","B",1.8
"482","C3",2,2,NA,NA,NA,1,"Belmont","C",1
"483","C4",8,8,NA,NA,NA,1,"Belmont","C",1
"484","D1",46,26,54.0652043094912,0.260869565217391,48.0900799914959,1.76923076923077,"Belmont","D",1.77
"485","A1",3,3,NA,NA,NA,1,"Bergen Co.","A",1
"486","A2",5,3,6.6586585515666,0.4,45.0541197865475,1.66666666666667,"Bergen Co.","A",1.67
"487","A3",71,29,47.329442638716,0.197183098591548,61.2726421085671,2.44827586206897,"Bergen Co.","A",2.45
"488","A4",107,51,94.5264331794693,0.233644859813083,53.9531623955076,2.09803921568627,"Bergen Co.","A",2.1
"489","A5",10,5,10.7702450431376,0.3,46.4241990778641,2,"Bergen Co.","A",2
"490","A6",10,7,21.080516841483,0.5,33.2060169712023,1.42857142857143,"Bergen Co.","A",1.43
"491","A7",52,38,126.098179843504,0.480769230769234,30.1352486191001,1.36842105263158,"Bergen Co.","A",1.37
"493","A9",34,25,95.8428617511258,0.558823529411764,26.0843630326036,1.36,"Bergen Co.","A",1.36
"494","B1",7,7,NA,NA,NA,1,"Bergen Co.","B",1
"503","B18",2,2,NA,NA,NA,1,"Bergen Co.","B",1
"504","B19",39,23,52.0957931898196,0.333333333333332,44.1494381632615,1.69565217391304,"Bergen Co.","B",1.7
"505","B2",94,32,47.4091118515527,0.138297872340424,67.4975732517376,2.9375,"Bergen Co.","B",2.94
"506","B20",2,2,NA,NA,NA,1,"Bergen Co.","B",1
"507","B21",16,15,217.34088308962,0.875,6.90160074200802,1.06666666666667,"Bergen Co.","B",1.07
"509","B24",4,4,NA,NA,NA,1,"Bergen Co.","B",1
"514","B3",33,18,33.5245170454053,0.0909090909090899,53.6920486449393,1.83333333333333,"Bergen Co.","B",1.83
"520","B35",121,48,77.3603470097814,0.173553719008261,62.0472914811653,2.52083333333333,"Bergen Co.","B",2.52
"521","B35",26,20,112.44383304728,0.653846153846153,17.78665797669,1.3,"Bergen Co.","B",1.3
"522","B36",31,19,45.5870937243071,0.35483870967742,41.6784630204868,1.63157894736842,"Bergen Co.","B",1.63
"523","B37",4,2,NA,NA,NA,2,"Bergen Co.","B",2
"524","B38",27,20,73.8315751726908,0.555555555555554,27.0886811682134,1.35,"Bergen Co.","B",1.35
"527","B40",159,69,121.506224233771,0.201257861635213,56.7872143465242,2.30434782608696,"Bergen Co.","B",2.3
"529","B43",49,21,36.921888836185,0.204081632653061,56.8768301458596,2.33333333333333,"Bergen Co.","B",2.33
"530","B44",84,31,57.3003658469558,0.214285714285715,54.100876219182,2.70967741935484,"Bergen Co.","B",2.71
"532","B46",48,30,73.8477085657895,0.354166666666668,40.6241447197696,1.6,"Bergen Co.","B",1.6
"533","B47",24,20,119.433521154491,0.708333333333332,16.745717455763,1.2,"Bergen Co.","B",1.2
"537","B51",2,2,NA,NA,NA,1,"Bergen Co.","B",1
"539","B6",28,20,68.5663583296923,0.535714285714285,29.1688234393792,1.4,"Bergen Co.","B",1.4
"542","B9",13,11,83.4623347019508,0.769230769230768,13.179597766204,1.18181818181818,"Bergen Co.","B",1.18
"544","C10",46,26,65.2961296216967,0.347826086956523,39.8185928486651,1.76923076923077,"Bergen Co.","C",1.77
"545","C11",82,28,41.5516543992062,0.134146341463413,67.3860052141146,2.92857142857143,"Bergen Co.","C",2.93
"548","C14",29,13,20.893616127008,0.068965517241379,62.2199619298815,2.23076923076923,"Bergen Co.","C",2.23
"549","C15",12,12,NA,NA,NA,1,"Bergen Co.","C",1
"552","C18",46,19,29.8281864671199,0.130434782608695,63.6981400828509,2.42105263157895,"Bergen Co.","C",2.42
"554","C20",112,39,58.7578317175349,0.142857142857139,66.3741306648001,2.87179487179487,"Bergen Co.","C",2.87
"555","C21",9,7,34.3694687458318,0.666666666666666,20.366913587656,1.28571428571429,"Bergen Co.","C",1.29
"564","C3",49,26,49.9551272301586,0.224489795918366,52.0467096004181,1.88461538461538,"Bergen Co.","C",1.88
"565","C30",67,24,39.5052718216625,0.134328358208954,60.7513855577112,2.79166666666667,"Bergen Co.","C",2.79
"566","C31",96,37,58.6578275214944,0.135416666666664,63.0776855594282,2.59459459459459,"Bergen Co.","C",2.59
"568","C33",29,25,163.277714216477,0.72413793103448,15.311336344931,1.16,"Bergen Co.","C",1.16
"571","C36",50,18,25.9431621793506,0.0599999999999987,69.3824441121023,2.77777777777778,"Bergen Co.","C",2.78
"573","C38",50,28,62.0027547008372,0.32,45.1592838658536,1.78571428571429,"Bergen Co.","C",1.79
"574","C39",16,9,18.156949043922,0.3125,49.5677989635198,1.77777777777778,"Bergen Co.","C",1.78
"576","C40",6,4,8.31648052908751,0.333333333333333,48.0972688628285,1.5,"Bergen Co.","C",1.5
"583","C46",45,17,48.0738453299365,0.266666666666666,35.3622637908971,2.64705882352941,"Bergen Co.","C",2.65
"584","C47",2,2,NA,NA,NA,1,"Bergen Co.","C",1
"585","C49",39,21,40.8332031796281,0.256410256410255,51.4287353544603,1.85714285714286,"Bergen Co.","C",1.86
"587","C50",54,38,111.257988566762,0.407407407407405,34.1548508017449,1.42105263157895,"Bergen Co.","C",1.42
"589","C51",77,27,40.0242472557129,0.103896103896105,67.4591075442303,2.85185185185185,"Bergen Co.","C",2.85
"590","C52",56,38,125.313186188212,0.5,30.3240234774068,1.47368421052632,"Bergen Co.","C",1.47
"591","C52",3,3,NA,NA,NA,1,"Bergen Co.","C",1
"596","C58",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333,"Bergen Co.","C",1.33
"602","C62",56,29,61.1647308781712,0.267857142857142,47.4129446555771,1.93103448275862,"Bergen Co.","C",1.93
"605","C67",48,24,56.1526186375118,0.291666666666668,42.7406603331001,2,"Bergen Co.","C",2
"607","C69",24,16,41.5194897530715,0.375,38.5361190495275,1.5,"Bergen Co.","C",1.5
"609","C70",34,32,NA,NA,NA,1.0625,"Bergen Co.","C",1.06
"610","C71",11,11,NA,NA,NA,1,"Bergen Co.","C",1
"611","C72",61,35,74.8214503651044,0.278688524590166,46.7780293341166,1.74285714285714,"Bergen Co.","C",1.74
"614","C75",168,60,116.823995015037,0.196428571428569,51.3593119224155,2.8,"Bergen Co.","C",2.8
"618","D10",11,10,94.8616533585581,0.818181818181818,10.5416674134932,1.1,"Bergen Co.","D",1.1
"620","D12",6,4,8.31648052908751,0.333333333333333,48.0972688628285,1.5,"Bergen Co.","D",1.5
"621","D13",82,55,159.651871041721,0.451219512195124,34.4499564215111,1.49090909090909,"Bergen Co.","D",1.49
"622","D15",10,9,76.3681272346926,0.800000000000001,11.7850212200981,1.11111111111111,"Bergen Co.","D",1.11
"625","D20",20,18,162.16285610888,0.800000000000001,11.0999524995505,1.11111111111111,"Bergen Co.","D",1.11
"626","D21",5,4,13.9329184151309,0.6,28.7089888910572,1.25,"Bergen Co.","D",1.25
"628","D22",20,19,NA,NA,NA,1.05263157894737,"Bergen Co.","D",1.05
"630","D24",38,25,66.2114312372878,0.394736842105264,37.7578305329261,1.52,"Bergen Co.","D",1.52
"631","D24",22,18,97.2482198469493,0.68181818181818,18.5093362411453,1.22222222222222,"Bergen Co.","D",1.22
"632","D25",13,12,137.851528497232,0.846153846153845,8.70501773235034,1.08333333333333,"Bergen Co.","D",1.08
"633","D3",9,8,59.8759170331237,0.777777777777778,13.3609644685264,1.125,"Bergen Co.","D",1.12
"634","D4",77,43,94.5777320339158,0.311688311688314,45.4652475538112,1.7906976744186,"Bergen Co.","D",1.79
"636","D6",60,28,51.5253923216908,0.199999999999999,54.3421383871982,2.14285714285714,"Bergen Co.","D",2.14
"637","D7",31,13,22.6436596112456,0.225806451612904,57.4112145438882,2.38461538461538,"Bergen Co.","D",2.38
"639","A1",18,17,280.335740280869,0.888888888888889,6.06415720769948,1.05882352941176,"Bethlehem","A",1.06
"644","B5",38,26,73.9297125177641,0.421052631578945,35.1685392983946,1.46153846153846,"Bethlehem","B",1.46
"646","B6",28,16,33.8494365441012,0.285714285714285,47.2681427921383,1.75,"Bethlehem","B",1.75
"648","C1",4,4,NA,NA,NA,1,"Bethlehem","C",1
"649","C2",16,12,39.8572696022026,0.5,30.1074311405838,1.33333333333333,"Bethlehem","C",1.33
"650","C3",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333,"Bethlehem","C",1.33
"651","C4",3,3,NA,NA,NA,1,"Bethlehem","C",1
