"","id","ebird","iNaturalist","other"
"52","OH_Akron_C8_C_7051",188,9,0
"53","OH_Akron_C9_C_7052",0,3,0
"54","OH_Akron_D1_D_7053",162,3,0
"55","OH_Akron_D10_D_7054",8,1,0
"56","OH_Akron_D10_D_7055",44,0,0
"57","OH_Akron_D11_D_7056",16,1,27
"58","OH_Akron_D12_D_7057",11,0,0
"59","OH_Akron_D13_D_7058",0,1,0
"60","OH_Akron_D2_D_7059",131,32,7
"61","OH_Akron_D3_D_7060",9,1,0
"62","OH_Akron_D4_D_7061",58,2,0
"63","OH_Akron_D5_D_7062",66,44,0
"64","OH_Akron_D6_D_7063",101,46,0
"65","OH_Akron_D8_D_7065",0,1,0
"66","OH_Akron_D9_D_7066",0,1,0
"67","NY_Albany_A1_A_6037",1702,3,484
"68","NY_Albany_A2_A_6038",6756,9,1
"69","NY_Albany_A3_A_6039",593,3,0
"70","NY_Albany_A4_A_6040",22982,1,0
"71","NY_Albany_A5_A_6041",305,0,0
"72","NY_Albany_A6_A_6042",147,48,0
"73","NY_Albany_B1_B_6043",4158,2,0
"74","NY_Albany_B2_B_6044",182,0,0
"75","NY_Albany_B3_B_6045",4643,0,0
"76","NY_Albany_B4_B_6046",4934,0,23
"77","NY_Albany_B5_B_6047",458,1,0
"78","NY_Albany_B6_B_6048",473,1,55
"79","NY_Albany_B7_B_6049",1,0,0
"80","NY_Albany_C1_C_6050",10,0,0
"81","NY_Albany_C2_C_6051",24,0,1
"82","NY_Albany_C3_C_6052",145,4,45
"83","NY_Albany_C4_C_6053",212,0,0
"84","NY_Albany_C5_C_6054",1,0,0
"85","NY_Albany_C6_C_6055",6915,0,539
"86","NY_Albany_C7_C_6056",16,0,0
"87","NY_Albany_C9_C_6058",164,6,0
"88","NY_Albany_D1_D_6059",1132,0,0
"89","NY_Albany_D2_D_6060",98,0,2
"90","NY_Albany_D4_D_6062",23,2,0
"91","NY_Albany_D5_D_6063",2068,2,11
"92","NY_Albany_D6_D_6064",10,1,0
"93","PA_Altoona_A1_A_7978",8,0,0
"94","PA_Altoona_A2_A_7979",21,0,0
"95","PA_Altoona_B10_B_7981",25,0,0
"96","PA_Altoona_B13_B_7984",4,0,0
"97","PA_Altoona_B2_B_7985",22,0,0
"98","PA_Altoona_B4_B_7987",49,0,0
"99","PA_Altoona_B5_B_7988",1,0,0
"100","PA_Altoona_B6_B_7989",22,0,0
"101","PA_Altoona_B7_B_7990",3,0,0
"102","PA_Altoona_B9_B_7992",9,1,0
"103","PA_Altoona_C1_C_7993",20,0,0
"104","PA_Altoona_C2_C_7995",106,0,0
"105","PA_Altoona_C6_C_7999",50,2,0
"106","PA_Altoona_C7_C_8000",192,0,0
"107","PA_Altoona_C8_C_8001",36,0,0
"108","PA_Altoona_C9_C_8002",18,0,0
"109","PA_Altoona_D2_D_8004",1,0,0
"110","PA_Altoona_D3_D_8005",214,1,265
"111","PA_Altoona_D5_D_8007",3,0,0
"112","TX_Amarillo_A_A_8731",1000,7,0
"113","TX_Amarillo_A_A_8732",79,3,1
"114","TX_Amarillo_A_A_8733",122,0,0
"115","TX_Amarillo_B_B_8734",1783,7,0
"116","TX_Amarillo_B_B_8735",41,1,0
"117","TX_Amarillo_C_C_8736",1,0,0
"118","TX_Amarillo_C_C_8737",3,0,0
"119","TX_Amarillo_C_C_8739",949,9,131
"120","TX_Amarillo_C_C_8740",0,1,0
"121","TX_Amarillo_C_C_8741",4,0,0
"122","TX_Amarillo_D_D_8742",2,1,0
"123","TX_Amarillo_D_D_8744",107,2,0
"124","TX_Amarillo_D_D_8745",0,1,0
"125","TX_Amarillo_D_D_8746",1,0,0
"126","TX_Amarillo_D_D_8747",10,0,0
"127","TX_Amarillo_D_D_8750",426,7,0
"128","MA_Arlington_A1_A_3659",19,1,2
"129","MA_Arlington_A2_A_3660",0,8,238
"130","MA_Arlington_A3_A_3661",2343,10,0
"131","MA_Arlington_B1_B_3662",97,5,1
"132","MA_Arlington_B10_B_3663",303,0,0
"133","MA_Arlington_B2_B_3664",1,5,0
"134","MA_Arlington_B3_B_3665",77,3,0
"135","MA_Arlington_B4_B_3666",3034,2,2
"136","MA_Arlington_B5_B_3667",55,3,0
"137","MA_Arlington_B6_B_3668",58,15,0
"138","MA_Arlington_B7_B_3669",175,6,0
"139","MA_Arlington_B8_B_3670",1393,2,412
"140","MA_Arlington_B9_B_3671",1244,6,1
"141","MA_Arlington_C1_C_3672",33,2,0
"142","MA_Arlington_C2_C_3673",5411,26,0
"143","MA_Arlington_C3_C_3674",360,3,0
"144","MA_Arlington_C4_C_3675",732,34,0
"145","NC_Asheville_A1_A_5217",9738,7,0
"146","NC_Asheville_A2_A_5218",443,7,0
"147","NC_Asheville_A3_A_5219",227,9,0
"148","NC_Asheville_B1_B_5220",146,10,0
"149","NC_Asheville_B10_B_5221",3,0,0
"150","NC_Asheville_B2_B_5222",214,12,0
"151","NC_Asheville_B3_B_5223",1930,7,0
"152","NC_Asheville_B4_B_5224",196,7,1
"153","NC_Asheville_B5_B_5225",80,1,0
"154","NC_Asheville_B6_B_5226",0,1,0
"155","NC_Asheville_B7_B_5227",34,0,0
"156","NC_Asheville_B8_B_5228",96,2,23
"157","NC_Asheville_B9_B_5229",550,5,0
"158","NC_Asheville_C1_C_5230",76,2,0
"159","NC_Asheville_C2_C_5231",4819,127,780
"160","NC_Asheville_C3_C_5232",5978,45,932
"161","NC_Asheville_C4_C_5233",1720,31,0
"162","NC_Asheville_D1_D_5234",1158,16,0
"163","NC_Asheville_D2_D_5235",8,1,0
"164","NC_Asheville_D3_D_5236",16,1,0
"165","NC_Asheville_D4_D_5237",1707,8,0
"166","GA_Atlanta_A1_A_1638",264,2,0
"167","GA_Atlanta_A1_A_1639",2778,14,0
"168","GA_Atlanta_A2_A_1640",276,3,0
"169","GA_Atlanta_A3_A_1641",84,0,0
"170","GA_Atlanta_A4_A_1642",11,0,0
"171","GA_Atlanta_A5_A_1643",17,0,0
"172","GA_Atlanta_A6_A_1644",28,2,0
"173","GA_Atlanta_A7_A_1645",360,0,0
"174","GA_Atlanta_A8_A_1646",55,0,0
"175","GA_Atlanta_A9_A_1647",70,1,0
"176","GA_Atlanta_B1_B_1649",13,0,0
"177","GA_Atlanta_B10_B_1650",301,0,0
"178","GA_Atlanta_B11_B_1651",30,1,0
"179","GA_Atlanta_B12_B_1652",4560,5,0
"180","GA_Atlanta_B13_B_1653",6366,90,1422
"181","GA_Atlanta_B14_B_1654",6278,44,0
"182","GA_Atlanta_B15_B_1655",185,2,0
"183","GA_Atlanta_B16_B_1656",1831,15,2219
"184","GA_Atlanta_B17_B_1657",669,0,0
"185","GA_Atlanta_B18_B_1658",262,1,0
"186","GA_Atlanta_B19_B_1659",1145,0,0
"187","GA_Atlanta_B2_B_1660",818,0,0
"188","GA_Atlanta_B20_B_1661",63,4,0
"189","GA_Atlanta_B21_B_1662",26,0,0
"190","GA_Atlanta_B23_B_1664",478,0,0
"191","GA_Atlanta_B24_B_1665",12,0,0
"192","GA_Atlanta_B25_B_1666",1,0,0
"193","GA_Atlanta_B26_B_1667",72,7,0
"194","GA_Atlanta_B27_B_1668",413,0,0
"195","GA_Atlanta_B28_B_1669",5,1,0
"196","GA_Atlanta_B3_B_1670",610,26,0
"197","GA_Atlanta_B4_B_1671",426,11,0
"198","GA_Atlanta_B5_B_1672",37,0,0
"199","GA_Atlanta_B5_B_1673",997,22,0
"200","GA_Atlanta_B6_B_1674",362,0,0
"201","GA_Atlanta_B7_B_1675",29,0,0
"202","GA_Atlanta_B8_B_1676",379,9,0
"203","GA_Atlanta_B9_B_1677",29,19,0
"204","GA_Atlanta_C1_C_1678",108,1,1314
"205","GA_Atlanta_C1_C_1679",75,2,0
"206","GA_Atlanta_C10_C_1680",133,16,0
"207","GA_Atlanta_C11_C_1681",180,0,0
"208","GA_Atlanta_C12_C_1682",1021,1,0
"209","GA_Atlanta_C13_C_1683",358,1,0
"210","GA_Atlanta_C14_C_1684",3285,9,0
"211","GA_Atlanta_C15_C_1685",1115,8,0
"212","GA_Atlanta_C16_C_1686",63,1,22
"213","GA_Atlanta_C17_C_1687",252,0,0
"214","GA_Atlanta_C18_C_1688",2251,4,0
"215","GA_Atlanta_C19_C_1689",10993,21,1184
"216","GA_Atlanta_C2_C_1690",812,2,0
"217","GA_Atlanta_C20_C_1691",1943,23,2
"218","GA_Atlanta_C21_C_1692",72,2,0
"219","GA_Atlanta_C22_C_1693",171,2,0
"220","GA_Atlanta_C23_C_1694",4399,8,122
"221","GA_Atlanta_C24_C_1695",1429,1,24
"222","GA_Atlanta_C25_C_1696",4994,17,0
"223","GA_Atlanta_C26_C_1697",341,19,0
"224","GA_Atlanta_C27_C_1698",306,0,0
"225","GA_Atlanta_C3_C_1701",160,4,0
"226","GA_Atlanta_C30_C_1702",14,1,0
"227","GA_Atlanta_C32_C_1705",238,0,0
"228","GA_Atlanta_C33_C_1706",458,0,0
"229","GA_Atlanta_C34_C_1707",0,0,78
"230","GA_Atlanta_C35_C_1708",258,3,0
"231","GA_Atlanta_C36_C_1709",426,0,0
"232","GA_Atlanta_C37_C_1710",409,0,0
"233","GA_Atlanta_C4_C_1713",76,0,0
"234","GA_Atlanta_C40_C_1714",80,0,0
"235","GA_Atlanta_C41_C_1715",369,2,16
"236","GA_Atlanta_C42_C_1716",1,0,0
"237","GA_Atlanta_C42_C_1717",155,0,0
"238","GA_Atlanta_C5_C_1718",10,0,0
"239","GA_Atlanta_C6_C_1719",482,7,0
"240","GA_Atlanta_C7_C_1720",259,27,0
"241","GA_Atlanta_C8_C_1721",1641,20,363
"242","GA_Atlanta_C9_C_1722",2370,5,165
"243","GA_Atlanta_D1_D_1723",561,0,0
"244","GA_Atlanta_D10_D_1724",732,12,0
"245","GA_Atlanta_D11_D_1725",1839,24,0
"246","GA_Atlanta_D12_D_1726",1209,1,291
"247","GA_Atlanta_D14_D_1729",78,0,0
"248","GA_Atlanta_D15_D_1730",29,0,0
"249","GA_Atlanta_D16_D_1731",114,0,0
"250","GA_Atlanta_D17_D_1732",319,1,0
"251","GA_Atlanta_D18_D_1733",1,0,0
"252","GA_Atlanta_D18_D_1734",62,2,0
"253","GA_Atlanta_D19_D_1735",21747,36,0
"254","GA_Atlanta_D2_D_1736",18,0,0
"255","GA_Atlanta_D20_D_1737",553,4,0
"256","GA_Atlanta_D21_D_1738",3558,37,3
"257","GA_Atlanta_D22_D_1739",23,0,0
"258","GA_Atlanta_D23_D_1740",22,0,373
"259","GA_Atlanta_D24_D_1741",12,0,0
"260","GA_Atlanta_D25_D_1742",125,26,0
"261","GA_Atlanta_D28_D_1745",22,0,0
"262","GA_Atlanta_D29_D_1746",110,0,0
"263","GA_Atlanta_D3_D_1748",186,7,0
"264","GA_Atlanta_D30_D_1749",50,0,23
"265","GA_Atlanta_D31_D_1750",18,0,0
"266","GA_Atlanta_D31_D_1751",106,0,0
"267","GA_Atlanta_D32_D_1752",7,0,0
"268","GA_Atlanta_D4_D_1753",726,0,0
"269","GA_Atlanta_D5_D_1754",17,4,0
"270","GA_Atlanta_D7_D_1756",1172,1,4218
"271","GA_Atlanta_D8_D_1757",0,10,0
"272","GA_Atlanta_D9_D_1758",32,2,0
"273","NJ_Atlantic City_A1_A_5403",10,0,0
"274","NJ_Atlantic City_A2_A_5404",10,0,2
"275","NJ_Atlantic City_B1_B_5405",160,12,132
"276","NJ_Atlantic City_B2_B_5406",232,0,31
"277","NJ_Atlantic City_B3_B_5407",50,1,5
"278","NJ_Atlantic City_B4_B_5408",1,1,3
"279","NJ_Atlantic City_B5_B_5409",6,0,2
"280","NJ_Atlantic City_B6_B_5410",84,0,695
"281","NJ_Atlantic City_B7_B_5411",1571,1,281
"282","NJ_Atlantic City_C1_C_5412",43,12,1
"283","NJ_Atlantic City_C10_C_5413",0,4,0
"284","NJ_Atlantic City_C11_C_5414",11991,10,143
"285","NJ_Atlantic City_C12_C_5415",331,2,722
"286","NJ_Atlantic City_C13_C_5416",47,0,28
"287","NJ_Atlantic City_C14_C_5417",169,0,168
"288","NJ_Atlantic City_C15_C_5418",226,0,0
"289","NJ_Atlantic City_C2_C_5419",24,4,1
"290","NJ_Atlantic City_C4_C_5421",6,0,0
"291","NJ_Atlantic City_C5_C_5422",55,0,0
"292","NJ_Atlantic City_C6_C_5423",6,0,0
"293","NJ_Atlantic City_C7_C_5424",0,1,0
"294","NJ_Atlantic City_C8_C_5425",48,4,0
"295","NJ_Atlantic City_C9_C_5426",4369,7,32
"296","NJ_Atlantic City_D1_D_5427",108,1,2
"297","NJ_Atlantic City_D2_D_5428",2418,5,146
"298","NJ_Atlantic City_D3_D_5429",38,1,0
"299","GA_Augusta_A1_A_1759",4,0,0
"300","GA_Augusta_B2_B_1762",4,0,0
"301","GA_Augusta_B3_B_1763",6,0,0
"302","GA_Augusta_B4_B_1765",136,0,564
"303","GA_Augusta_B6_B_1767",2,1,0
"304","GA_Augusta_B7_B_1768",57,3,0
"305","GA_Augusta_B8_B_1769",16,0,0
"306","GA_Augusta_C1_C_1772",20,8,0
"307","GA_Augusta_C2_C_1773",55,1,0
"308","GA_Augusta_C3_C_1774",11,0,567
"309","GA_Augusta_C5_C_1776",124,0,0
"310","GA_Augusta_C7_C_1778",77,0,0
"311","GA_Augusta_D1_D_1781",158,2,0
"312","GA_Augusta_D10_D_1782",1,0,0
"313","GA_Augusta_D11_D_1783",9,2,151
"314","GA_Augusta_D12_D_1784",16,0,0
"315","GA_Augusta_D2_D_1785",1,0,0
"316","GA_Augusta_D3_D_1786",9,0,0
"317","GA_Augusta_D4_D_1788",776,0,0
"318","GA_Augusta_D6_D_1790",6,0,0
"319","IL_Aurora_A1_A_2029",12,0,0
"320","IL_Aurora_A2_A_2030",99,0,0
"321","IL_Aurora_B_B_2031",22,0,0
"322","IL_Aurora_B2_B_2034",58,0,0
"323","IL_Aurora_B3_B_2035",35,0,0
"324","IL_Aurora_B4_B_2036",51,1,0
"325","IL_Aurora_C1_C_2037",29,1,0
"326","IL_Aurora_C2_C_2038",1445,1,292
"327","IL_Aurora_C4_C_2040",306,0,0
"328","IL_Aurora_C5_C_2041",1,0,0
"329","IL_Aurora_C6_C_2042",135,0,68
"330","IL_Aurora_C6_C_2043",7,2,0
"331","IL_Aurora_D_D_2044",66,0,0
"332","IL_Aurora_D1_D_2045",18,0,0
"333","IL_Aurora_D2_D_2046",2,0,0
"334","IL_Aurora_D3_D_2047",0,1,0
"335","IL_Aurora_D4_D_2049",2,0,0
"336","IL_Aurora_D4_D_2050",49,0,0
"337","IL_Aurora_D4_D_2051",3,0,0
"338","IL_Aurora_D5_D_2052",1047,0,125
"339","IL_Aurora_D6_D_2053",250,0,0
"340","IL_Aurora_D7_D_2054",14,2,0
"341","TX_Austin_A_A_8751",3924,30,0
"342","TX_Austin_A_A_8752",4303,87,1
"343","TX_Austin_A_A_8753",75838,372,795
"344","TX_Austin_B_B_8754",95,29,0
"345","TX_Austin_B_B_8755",6006,133,0
"346","TX_Austin_B_B_8756",240,7,0
"347","TX_Austin_B_B_8757",157,13,1
"348","TX_Austin_B_B_8758",86,98,79
"349","TX_Austin_B_B_8759",10850,197,400
"350","TX_Austin_B_B_8760",1413,48,0
"351","TX_Austin_C_C_8761",16939,223,5
"352","TX_Austin_D_D_8762",33582,209,2
"353","TX_Austin_D_D_8763",3406,86,114
"354","TX_Austin_D_D_8764",275,5,0
"355","TX_Austin_D_D_8765",9377,10,0
"356","TX_Austin_D_D_8766",13,5,0
"357","TX_Austin_D_D_8767",38,5,0
"358","TX_Austin_D_D_8768",28,0,0
"359","MD_Baltimore_A1_A_3990",1569,14,0
"360","MD_Baltimore_A1_A_3991",1614,7,0
"361","MD_Baltimore_A2_A_3992",569,6,0
"362","MD_Baltimore_A3_A_3993",377,70,0
"363","MD_Baltimore_A4_A_3994",26,0,0
"364","MD_Baltimore_A5_A_3995",304,1,2
"365","MD_Baltimore_A6_A_3996",260,1,0
"366","MD_Baltimore_B1_B_3997",2085,13,454
"367","MD_Baltimore_B10_B_3998",14483,34,725
"368","MD_Baltimore_B10_B_4000",14483,34,725
"369","MD_Baltimore_B11_B_4000",57,13,0
"370","MD_Baltimore_B11_B_4002",57,13,0
"371","MD_Baltimore_B12_B_4001",46,2,0
"372","MD_Baltimore_B12_B_4003",46,2,0
"373","MD_Baltimore_B14_B_4002",14598,15,2305
"374","MD_Baltimore_B14_B_4004",14598,15,2305
"375","MD_Baltimore_B15_B_4003",571,2,1
"376","MD_Baltimore_B15_B_4005",571,2,1
"377","MD_Baltimore_B16_B_4004",451,7,0
"378","MD_Baltimore_B16_B_4006",451,7,0
"379","MD_Baltimore_B17_B_4005",157,3,0
"380","MD_Baltimore_B17_B_4006",0,1,0
"381","MD_Baltimore_B17_B_4007",35,3,0
"382","MD_Baltimore_B17_B_4008",0,1,0
"383","MD_Baltimore_B17_B_4009",35,3,0
"384","MD_Baltimore_B18_B_4008",6,0,0
"385","MD_Baltimore_B18_B_4010",6,0,0
"386","MD_Baltimore_B19_B_4009",568,3,0
"387","MD_Baltimore_B19_B_4011",568,3,0
"388","MD_Baltimore_B2_B_4010",4787,7,1
"389","MD_Baltimore_B2_B_4012",4787,7,1
"390","MD_Baltimore_B20_B_4011",59,0,0
"391","MD_Baltimore_B20_B_4013",59,0,0
"392","MD_Baltimore_B21_B_4012",14,0,0
"393","MD_Baltimore_B21_B_4014",14,0,0
"394","MD_Baltimore_B22_B_4013",494,0,13
"395","MD_Baltimore_B22_B_4015",494,0,13
"396","MD_Baltimore_B23_B_4014",46,3,0
"397","MD_Baltimore_B23_B_4016",46,3,0
"398","MD_Baltimore_B3_B_4015",274,6,0
"399","MD_Baltimore_B3_B_4017",274,6,0
"400","MD_Baltimore_B4_B_4016",1391,3,0
"401","MD_Baltimore_B4_B_4018",1391,3,0
"402","MD_Baltimore_B5_B_4017",92,1,60
"403","MD_Baltimore_B5_B_4019",92,1,60
"404","MD_Baltimore_B7_B_4019",175,3,0
"405","MD_Baltimore_B7_B_4021",175,3,0
"406","MD_Baltimore_B8_B_4020",3,0,0
"407","MD_Baltimore_B8_B_4021",1389,13,486
"408","MD_Baltimore_B8_B_4022",3,0,0
"409","MD_Baltimore_B8_B_4023",1389,13,486
"410","MD_Baltimore_B9_B_4022",7112,1,0
"411","MD_Baltimore_B9_B_4024",7112,1,0
"412","MD_Baltimore_C1_C_4023",145,3,0
"413","MD_Baltimore_C1_C_4025",145,3,0
"414","MD_Baltimore_C10_C_4024",1854,1,0
"415","MD_Baltimore_C10_C_4026",1854,1,0
"416","MD_Baltimore_C11_C_4025",536,2,0
"417","MD_Baltimore_C11_C_4027",536,2,0
"418","MD_Baltimore_C12_C_4026",13,0,0
"419","MD_Baltimore_C12_C_4027",115,23,2
"420","MD_Baltimore_C12_C_4028",13,0,0
"421","MD_Baltimore_C12_C_4029",115,23,2
"422","MD_Baltimore_C13_C_4028",61,0,0
"423","MD_Baltimore_C13_C_4029",2776,59,84
"424","MD_Baltimore_C13_C_4030",61,0,0
"425","MD_Baltimore_C13_C_4031",2776,59,84
"426","MD_Baltimore_C14_C_4030",11,0,0
"427","MD_Baltimore_C14_C_4031",127,1,88
"428","MD_Baltimore_C14_C_4032",11,0,0
"429","MD_Baltimore_C14_C_4033",127,1,88
"430","MD_Baltimore_C15_C_4032",150,1,0
"431","MD_Baltimore_C15_C_4034",150,1,0
"432","MD_Baltimore_C16_C_4033",115,0,0
"433","MD_Baltimore_C16_C_4035",115,0,0
"434","MD_Baltimore_C17_C_4034",3014,1,29
"435","MD_Baltimore_C17_C_4036",3014,1,29
"436","MD_Baltimore_C18_C_4035",45,0,76
"437","MD_Baltimore_C18_C_4037",45,0,76
"438","MD_Baltimore_C19_C_4036",27,0,0
"439","MD_Baltimore_C19_C_4038",27,0,0
"440","MD_Baltimore_C2_C_4037",38,0,31
"441","MD_Baltimore_C2_C_4038",2578,2,0
"442","MD_Baltimore_C2_C_4039",38,0,31
"443","MD_Baltimore_C2_C_4040",2578,2,0
"444","MD_Baltimore_C20_C_4039",72,1,0
"445","MD_Baltimore_C20_C_4041",72,1,0
"446","MD_Baltimore_C21_C_4040",364,38,0
"447","MD_Baltimore_C21_C_4042",364,38,0
"448","MD_Baltimore_C22_C_4041",11691,1,126
"449","MD_Baltimore_C22_C_4042",106,0,4
"450","MD_Baltimore_C22_C_4043",11691,1,126
"451","MD_Baltimore_C22_C_4044",106,0,4
"452","MD_Baltimore_C3_C_4043",17,0,0
"453","MD_Baltimore_C3_C_4045",17,0,0
"454","MD_Baltimore_C4_C_4044",3152,23,0
"455","MD_Baltimore_C4_C_4046",3152,23,0
"456","MD_Baltimore_C5_C_4045",496,24,0
"457","MD_Baltimore_C5_C_4047",496,24,0
"458","MD_Baltimore_C6_C_4046",29,6,0
"459","MD_Baltimore_C6_C_4048",29,6,0
"460","MD_Baltimore_C7_C_4047",51,2,0
"461","MD_Baltimore_C7_C_4049",51,2,0
"462","MD_Baltimore_C8_C_4048",190,6,12
"463","MD_Baltimore_C8_C_4050",190,6,12
"464","MD_Baltimore_C9_C_4049",61,3,0
"465","MD_Baltimore_C9_C_4051",61,3,0
"466","MD_Baltimore_D_D_4050",134,15,0
"467","MD_Baltimore_D_D_4051",4,0,0
"468","MD_Baltimore_D_D_4052",134,15,0
"469","MD_Baltimore_D_D_4053",4,0,0
"470","MD_Baltimore_D1_D_4052",820,52,103
"471","MD_Baltimore_D1_D_4054",820,52,103
"472","MD_Baltimore_D2_D_4053",16,1,0
"473","MD_Baltimore_D2_D_4054",663,9,2
"474","MD_Baltimore_D2_D_4055",16,1,0
"475","MD_Baltimore_D2_D_4056",663,9,2
"476","MD_Baltimore_D4_D_4055",35,1,0
"477","MD_Baltimore_D4_D_4056",1140,14,133
"478","MD_Baltimore_D4_D_4057",35,1,0
"479","MD_Baltimore_D4_D_4058",1140,14,133
"480","MD_Baltimore_D5_D_4057",4860,707,169
"481","MD_Baltimore_D5_D_4059",4860,707,169
"482","MD_Baltimore_D6_D_4058",217,21,0
"483","MD_Baltimore_D6_D_4059",69,0,0
"484","MD_Baltimore_D6_D_4060",217,21,0
"485","MD_Baltimore_D6_D_4061",69,0,0
"486","MD_Baltimore_D8_D_4060",1220,76,53
"487","MD_Baltimore_D8_D_4062",1220,76,53
"488","MD_Baltimore_D9_D_4061",2517,1126,709
"489","MD_Baltimore_D9_D_4063",2517,1126,709
"490","MI_Battle Creek_A1_A_4062",208,0,0
"491","MI_Battle Creek_A1_A_4064",208,0,0
"492","MI_Battle Creek_A2_A_4063",17,0,0
"493","MI_Battle Creek_A2_A_4065",17,0,0
"494","MI_Battle Creek_B2_B_4066",17,1,520
"495","MI_Battle Creek_B2_B_4068",17,1,520
"496","MI_Battle Creek_C1_C_4073",56,0,0
"497","MI_Battle Creek_C1_C_4075",56,0,0
"498","MI_Battle Creek_C10_C_4074",4383,0,0
"499","MI_Battle Creek_C10_C_4076",4383,0,0
"500","MI_Battle Creek_C11_C_4075",9,2,0
"501","MI_Battle Creek_C11_C_4077",9,2,0
"502","MI_Battle Creek_C12_C_4076",21,0,0
"503","MI_Battle Creek_C12_C_4078",21,0,0
"504","MI_Battle Creek_C13_C_4077",642,0,0
"505","MI_Battle Creek_C13_C_4079",642,0,0
"506","MI_Battle Creek_C14_C_4078",12,0,367
"507","MI_Battle Creek_C14_C_4080",12,0,367
"508","MI_Battle Creek_C16_C_4080",183,1,0
"509","MI_Battle Creek_C16_C_4082",183,1,0
"510","MI_Battle Creek_C17_C_4082",3,0,19
"511","MI_Battle Creek_C17_C_4084",3,0,19
"512","MI_Battle Creek_C2_C_4083",27,0,0
"513","MI_Battle Creek_C2_C_4085",27,0,0
"514","MI_Battle Creek_C3_C_4084",6,0,0
"515","MI_Battle Creek_C3_C_4086",6,0,0
"516","MI_Battle Creek_C4_C_4085",10,0,0
"517","MI_Battle Creek_C4_C_4086",16,0,0
"518","MI_Battle Creek_C4_C_4087",10,0,0
"519","MI_Battle Creek_C4_C_4088",16,0,0
"520","MI_Battle Creek_C6_C_4089",1,0,0
"521","MI_Battle Creek_C6_C_4091",1,0,0
"522","MI_Battle Creek_C7_C_4090",38,0,0
"523","MI_Battle Creek_C7_C_4092",38,0,0
"524","MI_Battle Creek_C8_C_4091",222,0,0
"525","MI_Battle Creek_C8_C_4093",222,0,0
"526","MI_Battle Creek_C9_C_4092",10,0,0
"527","MI_Battle Creek_C9_C_4094",10,0,0
"528","MI_Battle Creek_D11_D_4095",5,0,0
"529","MI_Battle Creek_D11_D_4097",5,0,0
"530","MI_Battle Creek_D2_D_4096",107,0,0
"531","MI_Battle Creek_D2_D_4098",107,0,0
"532","MI_Battle Creek_D3_D_4097",1,0,0
"533","MI_Battle Creek_D3_D_4099",1,0,0
"534","MI_Battle Creek_D4_D_4100",1,0,0
"535","MI_Battle Creek_D4_D_4102",1,0,0
"536","MI_Battle Creek_D5_D_4101",4,0,0
"537","MI_Battle Creek_D5_D_4102",55,0,0
"538","MI_Battle Creek_D5_D_4103",4,0,0
"539","MI_Battle Creek_D5_D_4104",55,0,0
"540","MI_Battle Creek_D6_D_4103",1,0,0
"541","MI_Battle Creek_D6_D_4105",1,0,0
"542","MI_Battle Creek_D8_D_4105",6,0,0
